0 28925.97543
0.100380951999999 28925.97543
0.101047619 28736.20289
0.101088435 28641.78401
0.101170067999999 28438.2727
0.101299319999999 28066.35092
0.101340136 27684.10375
0.101380952 27412.11346
0.101421768999998 27127.91111
0.101462584999999 26408.49231
0.101510203999999 25877.92758
0.101551019999999 25455.57514
0.101571428999998 24944.15517
0.101591836999999 21867.35046
0.101632653 21357.61409
0.101673469 20162.28306
0.101687075 18846.84819
0.101693877999999 17434.58405
0.101707482999999 17103.06376
0.101727891 16306.05245
0.101748298999999 15597.43092
0.101782313 13992.18851
0.101802720999999 13442.98265
0.101823129 12816.53294
0.101836734999999 11843.14312
0.101857142999999 11359.58093
0.101877551 11155.80907
0.101891155999999 9860.563366
0.101911564999999 8286.787596
0.101918367 7853.092537
0.101938774999999 6716.580309
0.101959183999999 5891.336061
0.101979592 5058.116513
0.101999999999999 4307.1557
0.102020408 3679.778094
0.102054421999999 3322.866078
0.102061223999998 3256.107418
0.102088434999999 3188.940308
0.102102040999999 3143.783918
0.102122449 3124.872309
0.102163265 3106.074464
0.102272109 3124.872309
0.102306121999998 3208.239654
0.102340135999999 3245.408789
0.102380951999999 3311.948098
0.102414966 3574.341193
0.102448979999999 3900.074261
0.102489795999999 4269.5201
0.102523808999999 4580.059648
0.102557823 5116.717439
0.102598638999999 5519.067418
0.102632652999999 5989.083613
0.102666667 6240.606864
0.102707483 6790.669564
0.102741496999999 7478.925317
0.102775509999999 7974.635756
0.102816326 8452.050873
0.10285034 9012.26102
0.102884353999999 9468.332473
0.102918366999999 10365.24771
0.102959184 10925.68661
0.102993196999999 11384.53214
0.103027210999999 11888.70396
0.103068026999999 12497.1928
0.103102041 13172.9039
0.103136053999999 13718.59871
0.103176870999999 14460.35004
0.103210884 15418.7961
0.103244898 16585.69342
0.103285713999999 17178.27968
0.103319727999999 18206.68658
0.103353741 19191.10447
0.103428570999999 20575.66223
0.103537414999998 22108.56483
0.103612244999999 23163.76726
0.103680271999999 23991.37994
0.103789116 25053.85467
0.103897959 25877.92758
0.104006802999999 26568.31551
0.104115645999999 27277.12205
0.104258502999999 27836.3739
0.104367346999999 28251.69979
0.10447619 28579.01051
0.104585034 28910.1133
0.104659863999999 29085.07621
0.104768706999998 29341.45966
0.104911564999999 29502.84571
0.105095237999999 29762.91178
0.105238094999999 30025.27031
0.105421769 30206.98211
0.105598638999999 30289.94152
0.105891155999999 30389.79362
0.107408162999999 30389.79362
0.107591837 30206.98211
0.107809523999999 29943.03579
0.108020408 29861.0265
0.108238094999999 29762.91178
0.108455781999999 29762.91178
0.108748298999999 29600.10311
0.109217687 29422.04203
0.109687074999999 29245.05208
0.11 28989.51103
0.200380951999998 28925.97543
0.201047618999999 28736.20289
0.201088435 28641.78401
0.201170067999998 28438.2727
0.201299319999999 28066.35092
0.201340135999999 27684.10375
0.201380952 27412.11346
0.201421768999998 27127.91111
0.201462584999999 26408.49231
0.201510203999999 25877.92758
0.201551019999999 25455.57514
0.201571428999998 24944.15517
0.201591836999999 21867.35046
0.201632652999999 21357.61409
0.201673469 20162.28306
0.201687074999999 18846.84819
0.201693877999999 17434.58405
0.201707482999999 17103.06376
0.201727891 16306.05245
0.201748298999999 15597.43092
0.201782312999999 13992.18851
0.201802720999999 13442.98265
0.201823129 12816.53294
0.201836734999999 11843.14312
0.201857142999999 11359.58093
0.201877551 11155.80907
0.201891155999999 9860.563366
0.201911564999998 8286.787596
0.201918367 7853.092537
0.201938774999999 6716.580309
0.201959183999998 5891.336061
0.201979591999999 5058.116513
0.201999999999999 4307.1557
0.202020408 3679.778094
0.202054421999999 3322.866078
0.202061223999998 3256.107418
0.202088434999999 3188.940308
0.202102040999999 3143.783918
0.202122449 3124.872309
0.202163265 3106.074464
0.202272109 3124.872309
0.202306121999998 3208.239654
0.202340135999999 3245.408789
0.202380951999999 3311.948098
0.202414966 3574.341193
0.202448979999999 3900.074261
0.202489795999999 4269.5201
0.202523808999999 4580.059648
0.202557823 5116.717439
0.202598638999998 5519.067418
0.202632652999999 5989.083613
0.202666667 6240.606864
0.202707483 6790.669564
0.202741496999999 7478.925317
0.202775509999999 7974.635756
0.202816325999999 8452.050873
0.20285034 9012.26102
0.202884353999999 9468.332473
0.202918366999999 10365.24771
0.202959184 10925.68661
0.202993196999998 11384.53214
0.203027210999999 11888.70396
0.203068026999999 12497.1928
0.203102041 13172.9039
0.203136053999999 13718.59871
0.203176870999999 14460.35004
0.203210883999999 15418.7961
0.203244898 16585.69342
0.203285713999998 17178.27968
0.203319727999999 18206.68658
0.203353741 19191.10447
0.203428570999999 20575.66223
0.203537414999998 22108.56483
0.203612244999999 23163.76726
0.203680271999998 23991.37994
0.203789116 25053.85467
0.203897958999999 25877.92758
0.204006802999999 26568.31551
0.204115645999999 27277.12205
0.204258502999999 27836.3739
0.204367346999999 28251.69979
0.20447619 28579.01051
0.204585034 28910.1133
0.204659863999999 29085.07621
0.204768706999998 29341.45966
0.204911564999998 29502.84571
0.205095237999999 29762.91178
0.205238094999999 30025.27031
0.205421769 30206.98211
0.205598638999998 30289.94152
0.205891155999999 30389.79362
0.207408162999999 30389.79362
0.207591836999999 30206.98211
0.207809523999999 29943.03579
0.208020408 29861.0265
0.208238094999999 29762.91178
0.208455781999998 29762.91178
0.208748298999999 29600.10311
0.209217686999999 29422.04203
0.209687074999998 29245.05208
0.21 28989.51103
0.300380951999998 28925.97543
0.301047618999999 28736.20289
0.301088434999999 28641.78401
0.301170067999998 28438.2727
0.301299319999999 28066.35092
0.301340135999999 27684.10375
0.301380951999999 27412.11346
0.301421768999998 27127.91111
0.301462584999998 26408.49231
0.301510203999998 25877.92758
0.301551019999999 25455.57514
0.301571428999998 24944.15517
0.301591836999999 21867.35046
0.301632652999999 21357.61409
0.301673469 20162.28306
0.301687074999999 18846.84819
0.301693877999999 17434.58405
0.301707482999998 17103.06376
0.301727890999999 16306.05245
0.301748298999999 15597.43092
0.301782312999999 13992.18851
0.301802720999998 13442.98265
0.301823129 12816.53294
0.301836734999999 11843.14312
0.301857142999998 11359.58093
0.301877550999999 11155.80907
0.301891155999999 9860.563366
0.301911564999998 8286.787596
0.301918367 7853.092537
0.301938774999999 6716.580309
0.301959183999998 5891.336061
0.301979591999999 5058.116513
0.301999999999998 4307.1557
0.302020408 3679.778094
0.302054421999998 3322.866078
0.302061223999998 3256.107418
0.302088434999999 3188.940308
0.302102040999998 3143.783918
0.302122448999999 3124.872309
0.302163265 3106.074464
0.302272108999999 3124.872309
0.302306121999998 3208.239654
0.302340135999999 3245.408789
